Time: 286,264 ms
Time: 254,518 ms
Time: 253,533 ms
Time: 248,947 ms
Time: 251,574 ms
Time: 259,553 ms
Time: 252,465 ms
Time: 257,194 ms
Time: 256,605 ms
Time: 267,046 ms
Time: 255,802 ms
Time: 264,360 ms
Time: 246,591 ms
Time: 252,396 ms
Time: 256,076 ms
Time: 251,478 ms
Time: 252,523 ms
Time: 249,971 ms
Time: 154,056 ms
Time: 153,362 ms
Time: 163,980 ms
Time: 162,286 ms
Time: 245,253 ms
Time: 154,451 ms
Time: 164,504 ms
Time: 243,357 ms
Time: 248,191 ms
Time: 256,900 ms
Time: 259,622 ms
Time: 244,343 ms
Time: 247,879 ms
Time: 257,378 ms
Time: 241,064 ms
Time: 250,629 ms
Time: 247,181 ms
Time: 114,941 ms
Time: 105,629 ms
Time: 263,101 ms
Time: 119,335 ms
Time: 245,440 ms
Time: 248,617 ms
Time: 231,241 ms
Time: 243,316 ms
Time: 249,261 ms
Time: 228,582 ms
Time: 251,349 ms
Time: 240,863 ms
Time: 240,382 ms
Time: 250,612 ms
Time: 249,295 ms
Time: 256,657 ms
Time: 246,048 ms
Time: 260,322 ms
Time: 252,233 ms
Time: 282,022 ms
Time: 255,727 ms
Time: 252,394 ms
Time: 263,574 ms
Time: 279,592 ms
Time: 255,475 ms
Time: 265,638 ms
Time: 261,777 ms
Time: 258,515 ms
Time: 271,496 ms
Time: 253,791 ms
Time: 254,228 ms
Time: 254,323 ms
Time: 246,999 ms
Time: 259,101 ms
Time: 262,361 ms
Time: 267,728 ms
Time: 133,881 ms
Time: 255,965 ms
Time: 127,424 ms
Time: 270,482 ms
Time: 130,306 ms
Time: 251,161 ms
Time: 259,568 ms
Time: 251,989 ms
Time: 262,038 ms
Time: 174,492 ms
Time: 251,377 ms
Time: 180,217 ms
Time: 198,439 ms
Time: 199,911 ms
Time: 211,195 ms
Time: 218,043 ms
Time: 196,290 ms
Time: 197,717 ms
Time: 199,556 ms
Time: 194,045 ms
Time: 209,582 ms
Time: 193,771 ms
Time: 194,207 ms
Time: 209,056 ms
Time: 203,495 ms
Time: 212,318 ms
Time: 214,741 ms
Time: 213,955 ms
Time: 209,958 ms
Time: 221,877 ms
Time: 217,185 ms
Time: 221,665 ms
Time: 250,948 ms
Time: 238,791 ms
Time: 238,687 ms
Time: 246,112 ms
Time: 220,482 ms
Time: 240,997 ms
Time: 246,298 ms
Time: 213,285 ms
Time: 245,312 ms
Time: 218,566 ms
Time: 244,407 ms
Time: 217,278 ms
Time: 230,803 ms
Time: 215,863 ms
Time: 221,124 ms
Time: 234,725 ms
Time: 230,273 ms
Time: 226,066 ms
Time: 214,171 ms
Time: 246,839 ms
Time: 216,448 ms
Time: 224,241 ms
Time: 216,749 ms
